FlyID,Temperature,FeedCount,Genotype,Expt_Group,plot_group
1,22,40,W1118;MB312B-Gal4,Sibling Control,Sibling Control 22
2,22,14,W1118;MB312B-Gal4,Sibling Control,Sibling Control 22
3,22,25,W1118;MB312B-Gal4,Sibling Control,Sibling Control 22
4,22,26,W1118;MB312B-Gal4,Sibling Control,Sibling Control 22
5,22,51,W1118;MB312B-Gal4,Sibling Control,Sibling Control 22
6,22,63,W1118;MB312B-Gal4,Sibling Control,Sibling Control 22
7,22,13,W1118;MB312B-Gal4,Sibling Control,Sibling Control 22
8,22,0,W1118;MB312B-Gal4,Sibling Control,Sibling Control 22
9,22,29,W1118;MB312B-Gal4,Sibling Control,Sibling Control 22
10,22,42,W1118;MB312B-Gal4,Sibling Control,Sibling Control 22
11,22,14,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 22
12,22,15,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 22
13,22,36,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 22
14,22,43,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 22
15,22,13,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 22
16,22,15,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 22
17,22,6,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 22
18,22,5,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 22
19,22,57,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 22
20,22,23,MB312B-Gal4>UAS-TrpA1,Offspring,Offspring 22
21,22,63,W1118;UAS-TrpA1,Sibling Control,Sibling Control 22
22,22,54,W1118;UAS-TrpA1,Sibling Control,Sibling Control 22
23,22,52,W1118;UAS-TrpA1,Sibling Control,Sibling Control 22
24,22,11,W1118;UAS-TrpA1,Sibling Control,Sibling Control 22
25,22,9,W1118;UAS-TrpA1,Sibling Control,Sibling Control 22
26,22,26,W1118;UAS-TrpA1,Sibling Control,Sibling Control 22
27,22,0,W1118;UAS-TrpA1,Sibling Control,Sibling Control 22
28,22,8,W1118;UAS-TrpA1,Sibling Control,Sibling Control 22
29,22,0,W1118;UAS-TrpA1,Sibling Control,Sibling Control 22
30,22,0,W1118;UAS-TrpA1,Sibling Control,Sibling Control 22
31,29,11,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
32,29,24,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
33,29,43,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
34,29,6,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
35,29,0,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
36,29,22,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
37,29,0,W1118;MB312B-Gal4,Sibling Control,Sibling Control 29
